"subject"	"group"	"part"	"sequence"	"weight"	"response"
2	1	2	"10"	9	6
2	1	2	"10"	10	9
3	1	1	"1"	1	3
3	1	1	"1"	2	6
3	1	1	"1"	3	8
3	1	1	"1"	4	9
3	1	1	"1"	5	9
3	1	1	"2"	1	7
3	1	1	"2"	2	7
3	1	1	"2"	3	4
3	1	1	"2"	4	8
3	1	1	"2"	5	9
3	1	1	"3"	1	6
3	1	1	"3"	2	5
3	1	1	"3"	3	8
3	1	1	"3"	4	9
3	1	1	"3"	5	9
3	1	1	"4"	1	6
3	1	1	"4"	2	8
3	1	1	"4"	3	7
3	1	1	"4"	4	8
3	1	1	"4"	5	9
3	1	1	"5"	1	4
3	1	1	"5"	2	6
3	1	1	"5"	3	7
3	1	1	"5"	4	7
3	1	1	"5"	5	9
3	1	1	"6"	1	5
3	1	1	"6"	2	6
3	1	1	"6"	3	8
3	1	1	"6"	4	8
3	1	1	"6"	5	9
3	1	1	"7"	1	5
3	1	1	"7"	2	4
3	1	1	"7"	3	9
3	1	1	"7"	4	9
3	1	1	"7"	5	9
3	1	1	"8"	1	5
3	1	1	"8"	2	6
3	1	1	"8"	3	8
3	1	1	"8"	4	9
3	1	1	"8"	5	9
3	1	1	"9"	1	8
3	1	1	"9"	2	7
3	1	1	"9"	3	7
3	1	1	"9"	4	8
3	1	1	"9"	5	9
3	1	1	"10"	1	8
3	1	1	"10"	2	4
3	1	1	"10"	3	9
3	1	1	"10"	4	9
3	1	1	"10"	5	9
3	1	2	"1"	6	9
3	1	2	"1"	7	9
3	1	2	"1"	8	9
3	1	2	"1"	9	9
3	1	2	"1"	10	9
3	1	2	"2"	6	9
3	1	2	"2"	7	9
3	1	2	"2"	8	9
3	1	2	"2"	9	8
3	1	2	"2"	10	9
3	1	2	"3"	6	8
3	1	2	"3"	7	9
3	1	2	"3"	8	7
3	1	2	"3"	9	7
3	1	2	"3"	10	9
3	1	2	"4"	6	6
3	1	2	"4"	7	9
3	1	2	"4"	8	8
3	1	2	"4"	9	8
3	1	2	"4"	10	9
3	1	2	"5"	6	8
3	1	2	"5"	7	8
3	1	2	"5"	8	7
3	1	2	"5"	9	8
3	1	2	"5"	10	9
3	1	2	"6"	6	6
3	1	2	"6"	7	7
3	1	2	"6"	8	9
3	1	2	"6"	9	7
3	1	2	"6"	10	8
3	1	2	"7"	6	8
3	1	2	"7"	7	8
3	1	2	"7"	8	8
3	1	2	"7"	9	9
3	1	2	"7"	10	7
3	1	2	"8"	6	7
3	1	2	"8"	7	7
3	1	2	"8"	8	9
3	1	2	"8"	9	8
3	1	2	"8"	10	9
3	1	2	"9"	6	8
3	1	2	"9"	7	7
3	1	2	"9"	8	9
3	1	2	"9"	9	7
3	1	2	"9"	10	9
3	1	2	"10"	6	5
3	1	2	"10"	7	6
3	1	2	"10"	8	7
3	1	2	"10"	9	8
3	1	2	"10"	10	9
4	2	1	"1"	11	5
4	2	1	"1"	12	5
4	2	1	"1"	13	6
4	2	1	"1"	14	7
4	2	1	"1"	15	7
4	2	1	"2"	11	8
4	2	1	"2"	12	8
4	2	1	"2"	13	7
4	2	1	"2"	14	9
4	2	1	"2"	15	9
4	2	1	"3"	11	7
4	2	1	"3"	12	6
4	2	1	"3"	13	8
4	2	1	"3"	14	8
4	2	1	"3"	15	7
4	2	1	"4"	11	6
4	2	1	"4"	12	6
4	2	1	"4"	13	8
4	2	1	"4"	14	8
4	2	1	"4"	15	7
4	2	1	"5"	11	7
4	2	1	"5"	12	7
4	2	1	"5"	13	8
4	2	1	"5"	14	8
4	2	1	"5"	15	9
4	2	1	"6"	11	6
4	2	1	"6"	12	8
4	2	1	"6"	13	7
4	2	1	"6"	14	7
4	2	1	"6"	15	8
4	2	1	"7"	11	6
4	2	1	"7"	12	9
4	2	1	"7"	13	8
4	2	1	"7"	14	7
4	2	1	"7"	15	9
4	2	1	"8"	11	5
4	2	1	"8"	12	5
4	2	1	"8"	13	7
4	2	1	"8"	14	5
4	2	1	"8"	15	7
4	2	1	"9"	11	6
4	2	1	"9"	12	7
4	2	1	"9"	13	7
4	2	1	"9"	14	8
4	2	1	"9"	15	8
4	2	1	"10"	11	7
4	2	1	"10"	12	7
4	2	1	"10"	13	8
4	2	1	"10"	14	9
4	2	1	"10"	15	8
4	2	2	"1"	6	4
